,source,target,year,weight
0,citigroup global markets hong kong futures and securities limited,nomura international (hong kong) limited,2011,1
1,nomura securities (hong kong) limited,deutsche securities asia limited,2003,1
2,orion investment management limited,marex hong kong limited,2012,1
3,rbs asia securities (hong kong) limited,morgan stanley hong kong securities limited,2006,1
4,morgan stanley hong kong securities limited,credit suisse (hong kong) limited,2010,1
5,houlihan lokey (china) limited,zerobridge partners advisory limited,2019,1
6,ubs securities asia limited,morgan stanley asia limited,2010,1
7,morgan stanley hong kong securities limited,goldman sachs (asia) l.l.c.,2013,1
8,balyasny asset management (hong kong) limited,citadel asia limited,2006,1
9,citadel asia limited,torq capital management (hk) limited,2016,1
10,magpie securities limited (hk),china everbright research limited,2019,1
11,citigroup global markets asia limited,j.p. morgan securities (far east) limited,2018,1
12,polygon investment partners hk limited,petiole management (hong kong) limited,2015,1
13,petiole management (hong kong) limited,black's link capital limited,2010,1
14,black's link capital limited,petiole management (hong kong) limited,2018,1
15,standard chartered securities (hong kong) limited,hsbc securities brokers (asia) limited,2007,1
16,sculptor capital management hong kong limited (b2001-12-28),venture smart asia limited,2018,1
17,daiwa capital markets hong kong limited,vantage capital markets hk limited,2020,1
18,vantage capital markets hk limited,credit agricole securities (asia) limited,2005,1
19,nomura international (hong kong) limited,goldman sachs futures (asia) limited,2004,1
20,jpmorgan asset management real assets (asia) limited,eastspring investments (hong kong) limited,2014,1
21,hsbc investment funds (hong kong) limited,blackrock (hong kong) limited (d2017-01-20),2008,1
22,blackrock (hong kong) limited (d2017-01-20),eastspring investments (hong kong) limited,2006,1
23,eastspring investments (hong kong) limited,bear stearns asia limited,2004,1
24,ubs securities asia limited,apg investments asia limited,2012,1
25,barclays capital asia limited,citigroup global markets asia limited,2005,1
26,glg partners hong kong limited,jefferies hong kong limited,2012,1
27,jefferies hong kong limited,credit suisse (hong kong) limited,2010,1
28,asiya investments hong kong limited,blackrock asset management north asia limited,2017,1
29,y2 capital partners limited,trikon asset management limited,2018,1
30,trikon asset management limited,morgan stanley hong kong futures limited,2007,1
31,morgan stanley hong kong futures limited,merrill lynch far east limited,2005,1
32,oasis management (hong kong),factorial management limited,2011,1
33,factorial management limited,oasis management (hong kong),2009,1
34,rbs asia corporate finance limited,cgs-cimb securities (hong kong) limited,2012,1
35,cgs-cimb securities (hong kong) limited,rbs asia corporate finance limited,2004,1
36,goldman sachs (asia) securities limited,point72 hong kong limited,2021,1
37,mercer investments (hk) limited,blackrock (hong kong) limited (d2017-01-20),2011,1
38,credit suisse (hong kong) limited,merrill lynch (asia pacific) limited,2006,1
39,blackrock asset management north asia limited,allianz global investors asia pacific limited (sfc:aoa171),2011,1
40,optimas capital limited,azentus capital management limited,2011,1
41,azentus capital management limited,goldman sachs (asia) l.l.c.,nan,1
42,credit agricole securities (asia) limited,hsbc securities brokers (asia) limited,2013,1
43,macquarie capital limited,ubs securities asia limited,2015,1
44,credit suisse (hong kong) limited,j.p. morgan securities (far east) limited,2014,1
45,j.p. morgan broking (hong kong) limited,goldman sachs (asia) l.l.c.,2015,1
46,da international asset management limited,"hgnh international futures co., limited",2007,1
47,"hgnh international futures co., limited",da international financial service limited,2012,1
48,csi global markets limited,huatai financial holdings (hong kong) limited,2022,1
49,huatai financial holdings (hong kong) limited,citic securities futures (hk) limited,2016,1
50,kgi asset management limited,asset management group limited,2008,1
51,asset management group limited,japan cosmo securities (hong kong) limited (d2009-07-28),2007,1
52,japan cosmo securities (hong kong) limited (d2009-07-28),t g holborn (hk) limited,2009,1
53,yunfeng financial markets limited,cantor fitzgerald (hong kong) capital markets limited,2005,1
54,cantor fitzgerald (hong kong) capital markets limited,yunfeng financial markets limited,2015,1
55,aletheia analyst network limited,macquarie capital limited,2008,1
56,liquidnet asia limited,ubs securities asia limited,2011,1
57,morgan stanley hong kong securities limited,goldman sachs futures (asia) limited,2008,1
58,dymon asia capital (hk) limited,ubs securities asia limited,2007,1
59,ubs securities asia limited,schonfeld strategic advisors (hong kong) limited,2019,1
60,schonfeld strategic advisors (hong kong) limited,point72 hong kong limited,2008,1
61,ubs securities asia limited,morgan stanley hong kong securities limited,2021,1
62,drake & morgan limited (hk),mib securities (hong kong) limited,2004,1
63,macquarie capital limited,stonepeak (hong kong) limited,2021,1
64,east park investment management co limited,morgan stanley asia limited,2007,1
65,crosby asset management (hong kong) limited,ion pacific limited,2015,1
66,morgan stanley asia limited,citigroup global markets asia limited,2010,1
67,canaccord genuity (hong kong) limited,deutsche securities asia limited,2015,1
68,deutsche securities asia limited,religare capital markets (hong kong) limited,2010,1
69,clsa futures limited,deutsche securities asia limited,nan,1
70,deutsche securities asia limited,clsa limited,2004,1
71,clsa limited,jefferies hong kong limited,2010,1
72,deutsche securities asia limited,macquarie capital limited,2007,1
73,arete research asia limited,macquarie capital limited,2016,1
74,macquarie capital limited,merrill lynch (asia pacific) limited,2006,1
75,jefferies hong kong limited,macquarie capital limited,nan,1
76,macquarie capital limited,aletheia analyst network limited,2016,1
77,aberdeen international investment management limited,"mesirow financial hong kong, limited",2012,1
78,sm investment advisors limited,asiya investments hong kong limited,2012,1
79,asiya investments hong kong limited,op investment management limited,2019,1
80,kingkey asset management limited,st. james's place (hong kong) limited,2013,1
81,robeco hong kong limited,asia climate partners hong kong limited,2016,1
82,citadel asia limited,goldman sachs (asia) securities limited,2012,1
83,goldman sachs (asia) securities limited,marshall wace asia limited,2014,1
84,marshall wace asia limited,balyasny asset management (hong kong) limited,2018,1
85,silverhorn investment advisors limited,wingate asset management limited,2020,1
86,merrill lynch far east limited,sg securities (hk) limited,2019,1
87,mvision private equity advisers asia limited,monument group (hk) limited,2015,1
88,morgan stanley asia limited,j.p. morgan broking (hong kong) limited,2019,1
89,sculptor capital management hong kong limited (b2001-12-28),kb securities hong kong limited,2019,1
90,haitong international asset management limited,ubs sdic asset management (hong kong) company limited,2014,1
91,ubs sdic asset management (hong kong) company limited,manulife investment management (hong kong) limited,2021,1
92,"guosen securities (hk) brokerage company, limited",ubs sdic asset management (hong kong) company limited,2013,1
93,ubs sdic asset management (hong kong) company limited,harvest global investments limited,2017,1
94,bocom international (asia) limited,asia debt management hong kong limited,2018,1
95,merrill lynch (asia pacific) limited,ubs securities asia limited,2010,1
96,ubs securities asia limited,vanguard investments hong kong limited,2013,1
97,icbc international securities limited,wocom securities limited,2007,1
98,smbc nikko securities (hong kong) limited,wells fargo securities asia limited,2012,1
99,wells fargo securities asia limited,vantage capital markets hk limited,2019,1
100,allianz global investors asia pacific limited (sfc:aoa171),factorial management limited,2016,1
101,morgan stanley hong kong securities limited,sg securities (hk) limited,2007,1
102,natixis asia limited,credit suisse (hong kong) limited,2007,1
103,csc asia limited,merrill lynch far east limited,2011,1
104,merrill lynch far east limited,kgi wealth management limited (d2017-10-03),2007,1
105,csc securities (hk) limited,ubs securities hong kong limited,2018,1
106,hsbc corporate finance (hong kong) limited,citigroup global markets asia limited,2015,1
107,vanhau asset management limited,capula investment management asia limited,2020,1
108,vanhau asset management limited,goldman sachs futures (asia) limited,2009,1
109,optiver trading hong kong limited,flow traders hong kong limited,2019,1
110,merrill lynch (asia pacific) limited,bnp paribas securities (asia) limited,2008,1
111,barclays capital asia limited,j.p. morgan broking (hong kong) limited,2013,1
112,east point asset management limited,deutsche securities asia limited,2017,1
113,deutsche securities asia limited,daiwa capital markets hong kong limited,2010,1
114,hsbc securities brokers (asia) limited,baring asset management (asia) limited,2007,1
115,j.p. morgan broking (hong kong) limited,"t. rowe price international, inc.",nan,1
116,"t. rowe price international, inc.",samsung securities (asia) limited,2010,1
117,samsung securities (asia) limited,macquarie asia securities limited,2021,1
118,macquarie asia securities limited,baring asset management (asia) limited,2006,1
119,providence equity asia limited,merrill lynch (asia pacific) limited,2012,1
120,china tonghai securities limited,abci securities company limited,2003,1
121,qube research & technologies hong kong limited,pacific alliance investment management (hk) limited,2013,1
122,pacific alliance investment management (hk) limited,centaurus capital (hong kong) limited,2011,1
123,citigroup global markets asia limited,nomura international (hong kong) limited,2008,1
124,zhongtai international futures limited,ces commodities (hk) limited,2009,1
125,ces commodities (hk) limited,china tonghai (ia) limited,2008,1
126,goldman sachs (asia) l.l.c.,rbs asia corporate finance limited,2008,1
127,rbs asia corporate finance limited,j.p. morgan securities (far east) limited,2020,1
128,chapmancraig limited,perpetuum wealth management limited,2010,1
129,nomura international (hong kong) limited,lehman brothers asia limited,2008,1
130,bear stearns asia limited,mizuho securities asia limited,2009,1
131,mizuho securities asia limited,"fox-pitt, kelton (asia) limited",2008,1
132,nomura international (hong kong) limited,mizuho securities asia limited,2013,1
133,boci research limited,china international capital corporation hong kong securities limited,2021,1
134,china international capital corporation hong kong securities limited,citigroup global markets asia limited,2020,1
135,hongkong bay securities limited,kingsway financial services group limited,2003,1
136,goldman sachs (asia) l.l.c.,s&p global ratings hong kong limited,2020,1
137,bob scotia international asset management company limited,china securities (international) brokerage company limited,2015,1
138,boci securities limited,china international capital corporation hong kong securities limited,2008,1
139,china international capital corporation hong kong securities limited,nomura international (hong kong) limited,2005,1
140,zerobridge partners advisory limited,asia debt management hong kong limited,2014,1
141,morgan stanley asia limited,axa rosenberg investment management asia pacific limited,nan,1
142,bfam partners (hong kong) limited,pacific alliance investment management (hk) limited,2018,1
143,areion asset management company limited,go-to-asia investment limited,2006,1
144,go-to-asia investment limited,mizuho securities asia limited,2005,1
145,goldman sachs (asia) l.l.c.,credit suisse (hong kong) limited,2016,1
146,deutsche securities asia limited,bnp paribas securities (asia) limited,2013,1
147,stj advisors (asia) limited,nomura international (hong kong) limited,2008,1
148,stj advisors (asia) limited,lehman brothers securities asia limited,2005,1
149,northern trust company of hong kong limited (the),nt securities asia limited,2014,1
150,nomura securities (hong kong) limited,lehman brothers asia limited,2007,1
151,"zhonghua finance capital co., limited",phoenician securities limited,2021,1
152,phoenician advisory services limited,platinum securities company limited,2015,1
153,platinum securities company limited,daiwa capital markets hong kong limited,2010,1
154,icap equities asia limited,vantage capital markets hk limited,2022,1
155,hsbc corporate finance (hong kong) limited,boci securities limited,2016,1
156,lehman brothers asia limited,nomura international (hong kong) limited,2008,1
157,tullett prebon (hong kong) limited,icap securities hong kong limited,2019,1
158,millennium capital management (hong kong) limited,lmr partners limited,2017,1
159,lmr partners limited,pine river capital management (hk) limited,2012,1
160,credit suisse (hong kong) limited,merrill lynch (asia pacific) limited,2018,1
161,morgan stanley asia limited,blackstone group (hk) limited (the),2008,1
162,blackstone group (hk) limited (the),morgan stanley hong kong futures limited,2005,1
163,bnp paribas securities (asia) limited,macquarie capital limited,2011,1
164,sylebra capital limited,myriad asset management limited (hk),2021,1
165,lehman brothers asia limited,nomura international (hong kong) limited,2008,1
166,morgan stanley hong kong securities limited,credit suisse futures (hong kong) limited,2007,1
167,credit suisse securities (hong kong) limited,morgan stanley hong kong securities limited,2019,1
168,morgan stanley hong kong securities limited,credit suisse (hong kong) limited,2008,1
169,citigroup global markets asia limited,nomura international (hong kong) limited,2016,1
170,ubs securities asia limited,myriad asset management limited (hk),2014,1
171,credit suisse (hong kong) limited,deutsche securities asia limited,2016,1
172,morgan stanley asia limited,ubs securities hong kong limited,2012,1
173,ubs securities hong kong limited,credit agricole securities (asia) limited,2006,1
174,macquarie equities (asia) limited,credit agricole securities (asia) limited,2007,1
175,nomura international (hong kong) limited,lehman brothers asia limited,2007,1
176,channel 8 wealth management limited,arta asset management limited,2009,1
177,j.p. morgan securities (far east) limited,morgan stanley asia limited,2020,1
178,icbc international capital limited,golden jade capital limited,2009,1
179,golden jade capital limited,ccb international capital limited,2014,1
180,ccb international capital limited,daiwa capital markets hong kong limited,2012,1
181,daiwa capital markets hong kong limited,"anglo chinese corporate finance, limited (hk)",2003,1
182,china tonghai securities limited,zhongtai international securities limited,2016,1
183,phillip securities (hong kong) limited,evergrande futures (hong kong) limited,2006,1
184,barclays capital asia limited,sg securities (hk) limited,2005,1
185,yonxi international finance holdings limited,partners asset management (hk) limited,2007,1
186,arta asset management limited,oshidori securities limited,2011,1
187,oshidori securities limited,mason investment management limited,2010,1
188,hang tang international capital management limited,boci securities limited,2013,1
189,everbright securities digital finance (hk) limited,uob kay hian (hong kong) limited,2015,1
190,uob kay hian (hong kong) limited,ces commodities (hk) limited,2007,1
191,phillip securities (hong kong) limited,rhb securities hong kong limited,nan,1
192,rhb securities hong kong limited,"hantec securities co., limited",2005,1
193,lion global financial limited,oneplatform asset management limited,2010,1
194,oneplatform asset management limited,zhongtai international securities limited,2016,1
195,peace town forex limited,gf securities (hong kong) brokerage limited,2011,1
196,gf securities (hong kong) brokerage limited,everbright securities investment services (hk) limited,2007,1
197,hsbc securities brokers (asia) limited,ad capital management (hong kong) limited,2004,1
198,ad capital management (hong kong) limited,hsbc corporate finance (hong kong) limited,2003,1
199,draco capital limited,rhb capital hong kong limited,2016,1
200,rhb capital hong kong limited,vbg capital limited,2017,1
201,vbg capital limited,clsa premium international (hk) limited,2012,1
202,donvex capital limited,draco capital limited,2021,1
203,kingkey securities group limited,elstone securities limited,2021,1
204,haitong international securities company limited,cinda international securities limited,2008,1
205,vc brokerage limited,beijing securities limited,2009,1
206,everbright securities investment services (hk) limited,cinda international investment consultant limited,2005,1
207,gcm investments hong kong limited,stifel hong kong limited,2019,1
208,win wong securities limited,fulbright securities limited,2018,1
209,champion & co.,fulbright securities limited,2005,1
210,south china securities limited,da international financial service limited,2019,1
211,fwd financial planning limited (hk),sun life financial asia services limited,2005,1
212,longitude asia limited,richland capital management limited,2007,1
213,richland capital management limited,hsbc securities (asia) limited,nan,1
214,ad capital management (hong kong) limited,alphalex capital management (hk) limited,2015,1
215,fulbright securities limited,sun growth securities limited,nan,1
216,goldman sachs (asia) securities limited,merrill lynch far east limited,2015,1
217,first asia finance group limited,oriental patron asia limited,2005,1
218,vision finance international company limited,partners capital international limited,2005,1
219,ifast securities (hk) limited,chief securities limited,2016,1
220,bmi funds management limited,yonghe asset management (hong kong) limited,2019,1
221,yonghe asset management (hong kong) limited,gold dragon worldwide asset management limited,2018,1
222,gold dragon worldwide asset management limited,china point asset management limited,2017,1
223,credit suisse (hong kong) limited,merrill lynch far east limited,2020,1
224,"china merchants futures (hk) co., limited",shenwan hongyuan futures (h.k.) limited,2004,1
225,csc securities (hk) limited,futu securities international (hong kong) limited,2016,1
226,changjiang futures (hk) limited,bright smart futures & commodities company limited,2010,1
227,ces commodities (hk) limited,haitong international futures limited,2010,1
228,emperor securities limited,ces forex (hk) limited,2008,1
229,zhongtai international securities limited,kgi asia limited,2011,1
230,kgi asia limited,south china securities limited,2012,1
231,south china securities limited,kgi asia limited,2016,1
232,absolute investment management (hk) limited,oriental patron securities limited,2011,1
233,oriental patron securities limited,rhb securities hong kong limited,2009,1
234,rhb securities hong kong limited,south china capital limited,2015,1
235,cvp securities limited,golden rich securities limited,2016,1
236,golden rich securities limited,cvp securities limited,2008,1
237,cvp securities limited,enlighten securities limited,2022,1
238,zheng da international financial holding limited,phillip securities (hong kong) limited,nan,1
239,realord asia pacific asset management limited,axiom investment management limited,nan,1
240,axiom investment management limited,yuanta securities (hong kong) company limited,2012,1
241,yuanta securities (hong kong) company limited,bg asset management limited,2014,1
242,yan yan investment limited,fosun hani securities limited,2005,1
243,ping an of china capital (hong kong) company limited,china pa securities (hong kong) company limited,2021,1
244,ces forex (hk) limited,everbright securities investment services (hk) limited,2018,1
245,amtd global markets limited,innovax capital limited,2018,1
246,goldbridge securities limited,cvp securities limited,2005,1
247,cvp securities limited,sino wealth securities limited,2016,1
248,generali investments asia limited,rbc global asset management (asia) limited,2010,1
249,cowen and company (asia) limited,china renaissance securities (hong kong) limited,2012,1
250,china securities (international) corporate finance company limited,bocom international holdings company limited,2006,1
251,tis securities (hk) limited,china securities (international) corporate finance company limited,2013,1
252,"man wo investment co., limited",get nice securities limited,2022,1
253,get nice securities limited,china pacific securities limited,2003,1
254,china pacific securities limited,bokhary securities limited,2013,1
255,mouette securities company limited,china reserve securities limited,2019,1
256,nine rivers capital partners limited,mayfair & ayers financial group limited,2010,1
257,huajun capital limited,gf securities (hong kong) brokerage limited,2013,1
258,gf securities (hong kong) brokerage limited,dbs vickers (hong kong) limited,2021,1
259,dbs vickers (hong kong) limited,chief securities limited,2012,1
260,chief securities limited,zhongtai international securities limited,2014,1
261,boci asia limited,"china merchants securities (hk) co., limited",2013,1
262,"china merchants securities (hk) co., limited",merrill lynch far east limited,2021,1
263,merrill lynch far east limited,bnp paribas securities (asia) limited,2017,1
264,yuzhou financial holdings limited,oneplatform asset management limited,2008,1
265,oneplatform asset management limited,gentleman capital limited,2021,1
266,gentleman capital limited,chief securities limited,2010,1
267,southwest securities (hk) brokerage limited,rhb securities hong kong limited,2010,1
268,morgan stanley asia limited,icbc international capital limited,2016,1
269,abci securities company limited,bnp paribas securities (asia) limited,2010,1
270,core pacific-yamaichi futures (h.k.) limited,cgs-cimb securities (hong kong) limited,2019,1
271,cgs-cimb securities (hong kong) limited,kgi asia limited,2006,1
272,rhb securities hong kong limited,cgs-cimb securities (hong kong) limited,2014,1
273,ubs securities asia limited,credit suisse (hong kong) limited,2013,1
274,sg asset finance (hong kong) limited,sucden financial (hk) limited,2017,1
275,aim capital consortium limited,anlly asset management limited,2020,1
276,anlly asset management limited,"greenland (asia) securities co., limited",2013,1
277,success power investment advisory limited,hong kong international capital management limited,2012,1
278,china reserve securities limited,lynxcap investments asia limited,2022,1
279,suparna capital management limited,i win asset management limited,2021,1
280,hsbc securities brokers (asia) limited,morgan stanley asia limited,2010,1
281,global prosperity financial company limited,phillip securities (hong kong) limited,2010,1
282,haitong futures hong kong limited,phillip securities (hong kong) limited,2011,1
283,phillip securities (hong kong) limited,china zhong heng finance group limited,2020,1
284,core pacific-yamaichi securities (h.k.) limited,haitong international securities company limited,2015,1
285,haitong international securities company limited,csc securities (hk) limited,2013,1
286,csc securities (hk) limited,china securities (international) brokerage company limited,2017,1
287,china securities (international) brokerage company limited,citic securities brokerage (hk) limited,2005,1
288,cash wealth management limited,boci securities limited,2008,1
289,gayang securities limited,karl thomson investment consultants limited,2003,1
290,karl thomson investment consultants limited,phillip commodities (h.k.) limited,2005,1
291,fulbright securities limited,kgi futures (hong kong) limited,2009,1
292,kgi futures (hong kong) limited,ftl wealth management (hk) limited,2008,1
293,okachi (hong kong) company limited,"xinhu international futures (hong kong) co., limited",2021,1
294,chow sang sang futures limited,cmbc securities company limited,2021,1
295,cmbc securities company limited,chow sang sang securities limited,2019,1
296,kingkey securities group limited,kvb kunlun asset management (hk) limited,2014,1
297,kvb kunlun asset management (hk) limited,rhb futures hong kong limited,2009,1
298,rhb futures hong kong limited,southwest securities (hk) brokerage limited,2006,1
299,halbis capital management (hong kong) limited,eastspring investments (hong kong) limited,2015,1
300,eastspring investments (hong kong) limited,halbis capital management (hong kong) limited,2006,1
301,halbis capital management (hong kong) limited,bochk asset management limited,2010,1
302,bochk asset management limited,hsbc investment funds (hong kong) limited,2005,1
303,everbright securities investment services (hk) limited,ces commodities (hk) limited,2014,1
304,ces commodities (hk) limited,avenue asset management limited (hk),2015,1
305,ces forex (hk) limited,everbright securities investment services (hk) limited,2005,1
306,nerico brothers limited (hk),bocom international securities limited,2009,1
307,wings securities (hk) limited,jimei securities limited,2009,1
308,jimei securities limited,sino-rich securities & futures limited,2015,1
309,sino-rich securities & futures limited,rhb securities hong kong limited,2005,1
310,uob kay hian (hong kong) limited,chief commodities limited,2010,1
311,delta asia securities limited,hamon asian advisors limited,2008,1
312,northern trust company of hong kong limited (the),bnp paribas dealing services asia limited,2016,1
313,wm (hk) limited,"charles schwab, hong kong, limited",2005,1
314,"charles schwab, hong kong, limited",axa china region investment services limited,2011,1
315,tai shing stock investment co. limited,oneplatform asset management limited,2007,1
316,oneplatform asset management limited,karl-thomson securities company limited,2010,1
317,dbs vickers securities (hong kong) limited,celestial securities limited,2005,1
318,boci-prudential asset management limited,platinum securities company limited,nan,1
319,lion global financial limited,uic financial advisors limited,2010,1
320,t g securities limited,perfect asset management limited (hk),2006,1
321,allianz global investors asia pacific limited (sfc:bfe699),j.p. morgan broking (hong kong) limited,nan,1
322,gentleman capital limited,allianz global investors hong kong limited,2006,1
323,morgan stanley asia limited,phoenix capital (international) limited,2017,1
324,legg mason international equities (hong kong) limited,hsbc global asset management (hong kong) limited,2006,1
325,phillip securities (hong kong) limited,cinda international securities limited,nan,1
326,everbright securities investment services (hk) limited,shun loong securities company limited,nan,1
327,ipp financial advisers limited,lis investment services limited,2008,1
328,mayfair & ayers financial group limited,golden mountain financial limited,2012,1
329,hsbc corporate finance (hong kong) limited,oaktree capital (hong kong) limited,2020,1
330,gf asset management (hong kong) limited,"zhonghua finance asset management co., limited",2020,1
331,"zhonghua finance asset management co., limited",frontier capital management limited (hk),2019,1
332,sg securities (hk) limited,barclays capital asia limited,2020,1
333,fairwin broking limited,afg securities limited,2017,1
334,afg securities limited,fairwin broking limited,2012,1
335,winsome capital limited,equities first holdings hong kong limited,2015,1
336,equities first holdings hong kong limited,cheetah advisors limited,2011,1
337,capital global management limited,csc futures (hk) limited,nan,1
338,csc futures (hk) limited,essence international securities (hong kong) limited,2011,1
339,sinopac securities (asia) limited,tung shing futures (brokers) limited,2016,1
340,hai tong securities (hk) brokerage limited,boci securities limited,2005,1
341,rhb futures hong kong limited,china tonghai securities limited,2020,1
342,bright smart securities international (h.k.) limited,soochow securities international brokerage limited,2021,1
343,sanfull securities limited,fortune (hk) securities limited,2012,1
344,lehman brothers asia limited,macquarie capital limited,2014,1
345,macquarie asia securities limited,cgs-cimb securities (hong kong) limited,2012,1
346,cgs-cimb securities (hong kong) limited,citigroup global markets asia limited,2021,1
347,macquarie capital limited,credit agricole securities (asia) limited,2009,1
348,goldman sachs (asia) l.l.c.,j.p. morgan broking (hong kong) limited,2006,1
349,christfund securities limited,prestige asset management limited (hk),2017,1
350,prestige securities limited (hk),eastin asset management limited,2021,1
351,original asset management limited,cvp securities limited,2005,1
352,cvp securities limited,hou tak securities limited,2006,1
353,dl securities (hk) limited,draco capital limited,2019,1
354,credit suisse (hong kong) limited,citigroup global markets asia limited,2013,1
355,morgan stanley asia limited,mizuho securities asia limited,2011,1
356,rbs asia corporate finance limited,citigroup global markets asia limited,2015,1
357,citigroup global markets asia limited,china industrial securities international capital limited,2018,1
358,ft securities limited,phillip commodities (h.k.) limited,2022,1
359,phillip commodities (h.k.) limited,rbc investment services (asia) limited,2006,1
360,zhongrong pt securities limited,wealth link securities limited,2017,1
361,wealth link securities limited,chung tak & company,nan,1
362,athena wealth management limited,cinda international investment consultant limited,2005,1
363,jpmorgan asset management (asia pacific) limited,t. rowe price hong kong limited,2018,1
364,delta asia financial futures limited,china ease investment limited,2021,1
365,delta asia wealth management limited,value partners private equity limited,2007,1
366,bc assets management (hk) limited,nerico brothers limited (hk),2009,1
367,nerico brothers limited (hk),bc assets management (hk) limited,2005,1
368,mirae asset securities (hk) limited,nerico brothers limited (hk),2012,1
369,citigroup global markets asia limited,clsa research limited,2005,1
370,core pacific - yamaichi international (h.k.) limited,uob kay hian (hong kong) limited,2005,1
371,citic securities brokerage (hk) limited,ces commodities (hk) limited,2008,1
372,ces commodities (hk) limited,canfield securities company limited,2018,1
373,canfield securities company limited,bluemount securities limited,2021,1
374,baoqiao partners capital limited,rasong asset management limited,2020,1
375,rasong asset management limited,pegasus fund managers limited,nan,1
376,pegasus fund managers limited,sino wealth asset management limited,2017,1
377,sino wealth asset management limited,clsa asset management limited,2014,1
378,clsa asset management limited,guotai junan assets (asia) limited,2011,1
379,emperor international exchange (hong kong) company limited,cinda international securities limited,2005,1
380,baring asset management (asia) limited,hamon asset management limited,nan,1
381,aia investment management hk limited,hamon asian advisors limited,2003,1
382,haitong international asset management limited,hang seng investment management limited,2015,1
383,citigroup global markets asia limited,credit suisse (hong kong) limited,2016,1
384,opus capital limited (hk),incu corporate finance limited,2018,1
385,future growth financial services limited,success futures and foreign exchange limited,2010,1
386,success futures and foreign exchange limited,ads securities hong kong limited,2011,1
387,ads securities hong kong limited,aus financial group (hong kong) limited,2018,1
388,success futures and foreign exchange limited,plotio forex limited,2022,1
389,taiping securities (hk) co limited,tianda securities limited,2020,1
390,golden jade asset management limited,tianda securities limited,2021,1
391,tianda securities limited,taiping securities (hk) co limited,2016,1
392,kingston securities limited,enlighten securities limited,2010,1
393,merrill lynch (asia pacific) limited,credit suisse (hong kong) limited,2005,1
394,daiwa capital markets hong kong limited,china reserve securities limited,2012,1
395,lego corporate finance limited,luk fook capital (hk) limited,2020,1
396,central china international capital limited,celestial capital limited,2015,1
397,core pacific-yamaichi capital limited,ly capital limited,2013,1
398,ly capital limited,shenwan hongyuan capital (h.k.) limited,2016,1
399,shenwan hongyuan capital (h.k.) limited,central china international capital limited,2004,1
400,sbi china capital partners limited,central china international capital limited,2008,1
401,grand onward securities limited,cheer union securities limited,2018,1
402,cheer union securities limited,shun heng securities limited,2008,1
403,joy silver limited,vbg capital limited,2009,1
404,euto capital partners limited,joy silver limited,2007,1
405,bgi capital limited,upbest assets management limited,2018,1
406,neutral financial holding company limited,south west capital limited (d2013-12-11),2011,1
407,south west capital limited (d2013-12-11),joy silver limited,2003,1
408,centaline wealth management limited,kgi asia limited,2014,1
409,kgi asia limited,centaline wealth management limited,2007,1
410,pamirs capital (h.k.) limited,zm asset management limited (gben),2018,1
411,newedge broker limited,standard chartered securities (hong kong) limited,2007,1
412,sg securities (hk) limited,bnp paribas securities (asia) limited,2011,1
413,gfi (hk) securities l.l.c.,credit suisse (hong kong) limited,2012,1
414,bgc securities (hong kong) llc,gfi (hk) securities l.l.c.,2020,1
415,oreana financial services limited,sti asset management limited,2016,1
416,oreana financial services limited,first fidelity capital (international) limited,2014,1
417,merrill lynch far east limited,morgan stanley asia limited,2009,1
418,icap securities hong kong limited,sunrise brokers (hong kong) limited,2015,1
419,gfi (hk) securities l.l.c.,sunrise brokers (hong kong) limited,2022,1
420,bear stearns asia limited,deutsche securities asia limited,2004,1
421,bnp paribas securities (asia) limited,millennium capital management (hong kong) limited,2019,1
422,clsa limited,lehman brothers asia limited,2007,1
423,drake & morgan limited (hk),aetas global markets limited,2007,1
424,boci securities limited,il&fs global financial services (hk) limited,2013,1
425,de riva asia limited,continuum capital limited,2017,1
426,sg asset finance (hong kong) limited,t.f.s. derivatives hk limited,2021,1
427,t.f.s. derivatives hk limited,bgc securities (hong kong) llc,2013,1
428,fidelity management & research (hong kong) limited,pyramis global advisors (hong kong) limited,2013,1
429,pyramis global advisors (hong kong) limited,fidelity management & research (hong kong) limited,2014,1
430,pyramis global advisors (hong kong) limited,fidelity management & research (hong kong) limited,2016,1
431,nh investment & securities (h.k.) limited,korea investment & securities asia limited,2009,1
432,samsung securities (asia) limited,kb securities hong kong limited,2013,1
433,kb securities hong kong limited,mirae asset securities (hk) limited,2014,1
434,mirae asset securities (hk) limited,samsung securities (asia) limited,2015,1
435,samsung securities (asia) limited,macquarie capital limited,2009,1
436,macquarie capital limited,deutsche securities asia limited,2007,1
437,first sentier investors (hong kong) limited,value partners limited,2016,1
438,neo risk investment advisors limited,merrill lynch far east limited,2006,1
439,merrill lynch far east limited,citigroup global markets asia limited,2011,1
440,citigroup global markets hong kong futures and securities limited,deutsche securities asia limited,2019,1
441,brickfield partners limited,citigroup global markets asia limited,2013,1
442,ccb international securities limited,bear stearns asia limited,2005,1
443,bear stearns asia limited,morgan stanley asia limited,nan,1
444,morgan stanley asia limited,etrade securities limited,2003,1
445,etrade securities limited,morgan stanley asia limited,2010,1
446,standard chartered securities (hong kong) limited,boci securities limited,2005,1
447,citigroup global markets asia limited,deutsche securities asia limited,2016,1
448,deutsche securities asia limited,credit suisse securities (hong kong) limited,2018,1
449,double haven capital (hong kong) limited,sparx asia investment advisors limited,2007,1
