,source,target,year,weight
26894,evergrande securities (hong kong) limited,huajin securities (international) limited,2017,1
26895,bright smart securities international (h.k.) limited,prudential brokerage limited,2008,1
26896,trenda capital limited,central wealth asset management limited,2019,1
26897,haitong international futures limited,core pacific - yamaichi international (h.k.) limited,2016,1
26898,alpha wealth management limited (hk),cinda international investment consultant limited,2006,1
26899,rbs asia securities (hong kong) limited,newedge broker hong kong limited,2008,1
26900,newedge broker hong kong limited,ubs securities asia limited,2006,1
26901,ccb international securities limited,marex hong kong limited,2011,1
26902,cric securities company limited,bright smart futures & commodities company limited,2011,1
26903,soochow securities international brokerage limited,brilliant norton securities company limited,2013,1
26904,brilliant norton securities company limited,kgi asia limited,2010,1
26905,oneplatform securities limited,one china securities limited,2004,1
26906,centaline wealth management limited,t g holborn (hk) limited,2008,1
26907,interchina securities limited,christfund securities limited,2006,1
26908,gt capital limited,everbright securities investment services (hk) limited,2003,1
26909,kgi asia limited,sunfund securities limited,2020,1
26910,sunfund securities limited,everbright securities investment services (hk) limited,2011,1
26911,everbright securities investment services (hk) limited,kgi asia limited,2015,1
26912,ibest consultants limited,everbright securities investment services (hk) limited,2007,1
26913,founder securities (hong kong) limited,shenwan hongyuan securities (h.k.) limited,2014,1
26914,yuanta asia investment (hong kong) limited,huatai (hong kong) futures limited,2017,1
26915,huatai (hong kong) futures limited,hafoo securities limited,2015,1
26916,nerico brothers limited (hk),ibest consultants limited,2007,1
26917,asset management group limited,oreana financial services limited,2017,1
26918,oreana financial services limited,lion global financial limited,nan,1
26919,lion global financial limited,ipp financial advisers limited,2008,1
26920,china industrial securities international brokerage limited,shenwan hongyuan futures (h.k.) limited,2011,1
26921,shenwan hongyuan futures (h.k.) limited,bright smart securities international (h.k.) limited,2010,1
26922,bc assets management (hk) limited,china reserve securities limited,2004,1
26923,mason securities limited,taurus associates asset management limited,2010,1
26924,taurus associates asset management limited,shenwan hongyuan capital (h.k.) limited,2004,1
26925,luk fook securities (hk) limited,haitong international securities company limited,2016,1
26926,boci securities limited,prudential brokerage limited,2008,1
26927,fulbright securities limited,m securities limited (hk),2009,1
26928,eminence asset management (asia) limited,po tai securities (hong kong) limited,2018,1
26929,po tai securities (hong kong) limited,jin sha jiang asset management limited,2019,1
26930,pacific eagle asset management limited,well link asset management limited,2016,1
26931,well link asset management limited,pacific eagle asset management limited,2006,1
26932,pacific eagle asset management limited,rhb asset management limited,2013,1
26933,daiwa capital markets hong kong limited,icbc international capital limited,2016,1
26934,icbc international capital limited,credit suisse (hong kong) limited,2021,1
26935,deutsche securities asia limited,credit suisse (hong kong) limited,2011,1
26936,money concepts (asia) holdings limited,champus asset management limited,2009,1
26937,champus asset management limited,thornton global wealth management limited,2005,1
26938,thornton global wealth management limited,worl-d asset management (hong kong) limited,2013,1
26939,tung tai securities company limited,wings securities (hk) limited,nan,1
26940,china tonghai securities limited,eddid securities and futures limited,2022,1
26941,eddid securities and futures limited,china tonghai securities limited,2020,1
26942,eddid securities and futures limited,southwest securities (hk) brokerage limited,2017,1
26943,southwest securities (hk) brokerage limited,oriental patron securities limited,2009,1
26944,oriental patron securities limited,kingsway financial services group limited,2003,1
26945,kingsway financial services group limited,sinopac futures (asia) limited,2006,1
26946,sinopac futures (asia) limited,kgi asia limited,2013,1
26947,bright smart securities international (h.k.) limited,china tonghai securities limited,2020,1
26948,chanceton capital partners limited,harmony capital international limited,2022,1
26949,uob kay hian (hong kong) limited,avantua capital management limited,2021,1
26950,avantua capital management limited,usmart securities limited,2020,1
26951,mayfair & ayers financial group limited,usmart securities limited,2019,1
26952,usmart securities limited,win wong securities limited,2009,1
